"lat","lon","total","origen"
-87.117371,13.5839,6,"V-626, Honduras"
-87.1132343,13.3013217,1,"V-470, Santa Ana de Yusguare, Honduras"
-87.1098612,14.1148241,1,"Proyecto Maradiaga, Santa Lucía, Honduras"
-87.1036224,13.4793694,9,"Unnamed Road, Orocuina, Honduras"
-87.0973828,15.6280248,25,"Unnamed Road, La Masica, Honduras"
-87.0892702,13.5333605,2,"V-650, Liure, Honduras"
-87.0873978,14.4137091,24,"Unnamed Road, Talanga, Honduras"
-87.0711677,13.4818828,5,"N-85, Honduras"
-87.0624261,14.45411,155,"Unnamed Road, La Ermita, Honduras"
-87.0443525,14.1642699,1,"N-25, Valle de Ángeles, Honduras"
-87.0399404,14.160407,1,"Peatonal Como Era Antes, Valle de Ángeles, Honduras"
-87.0399404,14.6546241,26,"Unnamed Road, San Ignacio, Honduras"
-87.0374413,15.6623825,6,"Unnamed Road, San Francisco, Honduras"
-87.0336925,13.2881184,9,"N-117, El Corpus, Honduras"
-87.0261939,14.2603985,1,"RN-37, San Juan de Flores, Honduras"
-87.0218192,13.649619,3,"N-89, Texíguat, Honduras"
-86.9949372,13.1191133,19,"Unnamed Road, El Triunfo, Honduras"
-86.9886834,13.2299424,3,"N-117, Concepción de María, Honduras"
-86.9780501,13.611512,1,"V-642, Honduras"
-86.9574023,14.1796961,2,"RN-37, Villa de San Francisco, Honduras"
-86.9448841,14.7174741,33,"Unnamed Road, Orica, Honduras"
-86.933615,13.5986882,1,"Unnamed Road, Morolica, Honduras"
-86.9135745,15.2904851,2,"Unnamed Road, Jocón, Honduras"
-86.908563,14.3460554,1,"Unnamed Road, Honduras"
-86.8947789,15.7453924,71,"Unnamed Road, El Porvenir, Honduras"
-86.8846357,13.7229388,1,"Calle Francisco Morazan, San Antonio de Flores, Honduras"
-86.8834981,13.7223953,1,"Calle San Antonio, San Antonio de Flores, Honduras"
-86.8697068,14.1234415,3,"Unnamed Road, Morocelí, Honduras"
-86.8609285,14.7877378,15,"Unnamed Road, Honduras"
-86.8508942,13.9448964,1,"N-93, Yuscarán, Honduras"
-86.8295645,15.3755708,3,"N-129, Arenal, Honduras"
-86.8270545,14.549965,20,"Unnamed Road, Guaimaca, Honduras"
-86.8235081,15.7582671,1,"CA-13, La Ceiba, Honduras"
-86.8223479,15.76084,1,"2da Calle, La Ceiba, Honduras"
-86.8195237,15.0365207,5,"Unnamed Road, Honduras"
-86.811958,15.32868,5,"Unnamed Road, Arenal, Honduras"
-86.8032829,13.517475,1,"V-541, Honduras"
-86.7994359,13.439615,1,"CA-1, San Marcos de Colón, Honduras"
-86.7919009,15.770288,125,"Calle 22, La Ceiba, Honduras"
-86.7897814,15.7815234,2,"Avenida San Isidro, La Ceiba, Honduras"
-86.7887609,15.7563201,1,"Unnamed Road, La Ceiba, Honduras"
-86.7158573,14.1816042,1,"V-238, Honduras"
-86.7152284,14.9781469,10,"Calle Yocon, Honduras"
-86.7139704,14.22584,4,"V-239, Teupasenti, Honduras"
-86.710327,15.02647,7,"V-564, Honduras"
-86.7020185,14.9043126,4,"N-41, El Rosario, Honduras"
-86.6736997,14.6322366,5,"Unnamed Road, Honduras"
-86.6686635,14.0163738,2,"V-215, Jacaleapa, Honduras"
-86.6661453,14.547741,10,"Carr. a Olancho, Campamento, Honduras"
-86.633396,13.8652578,3,"N-94, Santa Cruz, Honduras"
-86.5905371,15.4861318,63,"Unnamed Road, Olanchito, Honduras"
-86.5728785,14.8288248,4,"N-110, Salamá, Honduras"
-86.5703554,14.0410953,72,"N-95, Danlí, Honduras"
-86.552928,13.8641109,2,"Unnamed Road, El Paraíso, Honduras"
-86.5425921,14.8108901,5,"N-109, Silca, Honduras"
-86.5299673,16.3297608,12,"Unnamed Road, Honduras"
-86.51104,15.02976,3,"V-528, Honduras"
-86.504708,15.7365887,23,"CA-13, Jutiapa, Honduras"
-86.4895463,16.3526078,1,"Henry Jackson Hwy, Honduras"
-86.4187308,14.0736932,17,"V-436, Honduras"
-86.4174653,15.081635,2,"V-528, Honduras"
-86.3934152,15.7699437,9,"Unnamed Road, Balfete, Honduras"
-86.3744202,14.9205233,17,"N-109, Manto, Honduras"
-86.359219,16.390086,1,"Lucy Point Rd, Oakridge, Honduras"
-86.3448036,15.7880414,1,"Unnamed Road, Balfete, Honduras"
-86.3072469,16.4200489,1,"Camp Bay Rd, Honduras"
-86.303442,14.913563,9,"N-109, Guarizama, Honduras"
-86.2717231,15.6156202,49,"Unnamed Road, Sonaguera, Honduras"
-86.241905,15.199999,122,"Olancho Department, Honduras"
-86.2209316,15.5211125,27,"Unnamed Road, Sabá, Honduras"
-86.2107672,14.6572108,109,"Unnamed Road, Juticalpa, Honduras"
-86.1828047,14.8751623,14,"principal, San Francisco de la Paz, Honduras"
-86.1064655,14.6467673,3,"Unnamed Road, San Francisco de Becerra, Honduras"
-86.0708016,15.0307039,16,"N-39, Gualaco, Honduras"
-86.0319253,15.8977392,7,"Carr Panamericana, Santa Fe, Honduras"
-86.0097742,15.6555899,1,"Palacio Municipal, Tocoa 32301, Honduras"
-85.9993997,14.0816305,4,"Unnamed Road, Trojes, Honduras"
-85.9968479,15.6576354,97,"Prolongación, 2a. Calle NE, Tocoa, Honduras"
-85.9534465,15.9116789,51,"Unnamed Road, Trujillo, Honduras"
-85.9330098,14.824285,4,"Carr. Hacia Catacamas, Santa María del Real, Honduras"
-85.8793252,14.8437223,97,"Carr. N-15, Catacamas, Honduras"
-85.8793252,16.4826614,1,"Unnamed Road, Savannah Bight, Honduras"
-85.7692277,15.2120303,22,"N-39, San Esteban, Honduras"
-85.7666645,14.8067406,11,"V-360, Honduras"
-85.7307673,15.7463051,30,"1a. Calle N E, Bonito Oriental, Honduras"
-85.6871451,15.9475779,5,"Unnamed Road, Santa Rosa de Aguán, Honduras"
-85.5586368,15.0796303,16,"Unnamed Road, Dulce Nombre de Culmí, Honduras"
-85.5019952,15.8617779,9,"Unnamed Road, Limón, Honduras"
-85.354965,15.6391768,7,"Unnamed Road, Honduras"
-85.24249,15.8840757,1,"Camino del Cerro, Punta Piedra, Honduras"
-85.1296624,15.0445733,6,"Olancho Department, Honduras"
-85.0921648,15.9685923,29,"Unnamed Road, Iriona, Honduras"
-84.5458072,15.7697052,1,"Unnamed Road, Brus Laguna, Honduras"
-83.7809863,15.2650594,1,"Unnamed Road, Lempira, Honduras"
-83.780617,15.25743,1,"GL26, Lempira, Honduras"
